Date,^FCHI,^FTSE,^GDAXI,^GSPC
2018-02-01,5454.549805,7490.399901999999,13003.900391,2821.97998
2018-02-02,5364.97998,7443.399901999999,12785.160156,2762.1298829999996
2018-02-05,5285.830078,7335.0,12687.490234,2648.939941
2018-02-06,5161.810059,7141.399901999999,12392.660156,2695.139893
2018-02-07,5255.899902,7279.399901999999,12590.429688,2681.659912
2018-02-08,5151.680176,7170.700195,12260.290039,2581.0
2018-02-09,5079.209961,7092.399901999999,12107.480469,2619.550049
2018-02-12,5140.060059,7177.100098000001,12282.769531,2656.0
2018-02-13,5109.240234000001,7168.0,12196.5,2662.939941
2018-02-14,5165.259765999999,7214.0,12339.160156,2698.6298829999996
2018-02-15,5222.52002,7234.799805,12346.169922,2731.199951
2018-02-16,5281.580078,7294.700195,12451.959961,2732.219971
2018-02-19,5256.180176,7247.700195,12385.599609,
2018-02-20,5289.859863000001,7246.799805,12487.900391,2716.26001
2018-02-21,5302.169922,7281.600098000001,12470.490234,2701.330078
2018-02-22,5309.22998,7252.399901999999,12461.910156,2703.959961
2018-02-23,5317.370117,7244.399901999999,12483.790039,2747.300049
2018-02-26,5344.259765999999,7289.600098000001,12527.040039,2779.600098
2018-02-27,5343.930176,7282.5,12490.730469,2744.280029
2018-02-28,5320.490234000001,7231.899901999999,12435.849609,2713.830078
2018-03-01,5262.560059,7175.600098000001,12190.94043,2677.669922
2018-03-02,5136.580078,7069.899901999999,11913.709961,2691.25
2018-03-05,5167.22998,7116.0,12090.870117,2720.939941
2018-03-06,5170.22998,7146.799805,12113.870117,2728.1201170000004
2018-03-07,5187.830078,7157.799805,12245.360352,2726.800049
2018-03-08,5254.100098,7203.200195,12355.570313,2738.969971
2018-03-09,5274.399902,7224.5,12346.679688,2786.570068
2018-03-12,5276.709961,7214.799805,12418.389648,2783.02002
2018-03-13,5242.790039,7138.799805,12221.030273,2765.310059
2018-03-14,5233.359863000001,7132.700195,12237.740234,2749.47998
2018-03-15,5267.259765999999,7139.799805,12345.55957,2747.330078
2018-03-16,5282.75,7164.100098000001,12389.580078,2752.01001
2018-03-19,5222.839844,7042.899901999999,12217.019531,2712.919922
2018-03-20,5252.430176,7061.299805,12307.330078,2716.939941
2018-03-21,5239.740234000001,7039.0,12309.150391,2711.929932
2018-03-22,5167.209961,6952.600098000001,12100.080078,2643.689941
2018-03-23,5095.220215,6921.899901999999,11886.30957,2588.26001
2018-03-26,5066.279785,6888.700195,11787.259766,2658.550049
2018-03-27,5115.740234000001,7000.100098000001,11970.830078,2612.6201170000004
2018-03-28,5130.439941,7044.700195,11940.709961,2605.0
2018-03-29,5167.299805,7056.600098000001,12096.730469,2640.8701170000004
2018-04-02,,,,2581.8798829999996
2018-04-03,5152.120117,7030.5,12002.450195,2614.449951
2018-04-04,5141.799805,7034.0,11957.900391,2644.689941
2018-04-05,5276.669922,7199.5,12305.19043,2662.840088
2018-04-06,5258.240234000001,7183.600098000001,12241.269531,2604.469971
2018-04-09,5263.390136999999,7194.799805,12261.75,2613.159912
2018-04-10,5307.560059,7266.799805,12397.320313,2656.8701170000004
2018-04-11,5277.939941,7257.100098000001,12293.969727,2642.189941
2018-04-12,5309.220215,7258.299805,12415.009766,2663.98999
2018-04-13,5315.02002,7264.600098000001,12442.400391,2656.300049
2018-04-16,5312.959961,7198.200195,12391.410156,2677.840088
2018-04-17,5353.540039,7226.100098000001,12585.570313,2706.389893
2018-04-18,5380.169922,7317.299805,12590.830078,2708.639893
2018-04-19,5391.640136999999,7328.899901999999,12567.419922,2693.1298829999996
2018-04-20,5412.830078,7368.200195,12540.5,2670.139893
2018-04-23,5438.549805,7398.899901999999,12572.389648,2670.290039
2018-04-24,5444.160156,7425.399901999999,12550.820313,2634.560059
2018-04-25,5413.299805,7379.299805,12422.299805,2639.399902
