Date,Open,High,Low,Close,Adj Close,Volume
2010-07-21,150.050003,150.970001,146.860001,146.990005,126.983948,11337000
2010-07-22,148.880005,149.880005,144.160004,146.550003,126.603836,13307300
2010-07-23,146.649994,148.410004,144.570007,147.380005,127.320862,7306900
2010-07-26,147.389999,149,145.210007,148.199997,128.029282,6089000
2010-07-27,149.089996,149.660004,147,147.229996,127.191261,7151200
2010-07-28,147,148.649994,146.779999,147.199997,127.165375,4845600
2010-07-29,148.270004,153.149994,147.630005,152.580002,131.813171,15657700
2010-07-30,151.350006,153.410004,150.800003,150.820007,130.292664,8792400
2010-08-02,152.820007,153.639999,151.610001,152.740005,131.951355,6523100
2010-08-03,152.119995,153.960007,151.410004,153.190002,132.340073,5648500
2010-08-04,153.619995,157.25,153,156.410004,135.121857,12283700
2010-08-05,155.630005,156.220001,154.399994,155.919998,134.698563,5680200
2010-08-06,154.539993,156.059998,153.770004,155.179993,134.05928,8082600
2010-08-09,155.929993,156.199997,154.589996,155.399994,134.249313,4209800
2010-08-10,154.020004,154.770004,153.179993,153.899994,132.953522,5861700
2010-08-11,151.720001,152,148.910004,149.25,128.936371,7734400
2010-08-12,147.809998,150.589996,147.809998,149.419998,129.083237,4949300
2010-08-13,149.380005,150.449997,148.080002,148.080002,127.925598,4218700
2010-08-16,147.580002,149.179993,147,147.759995,127.649155,3760100
2010-08-17,148.679993,149.789993,148.139999,148.589996,128.36618,4391600
2010-08-18,148.539993,149.940002,147.729996,149.199997,128.893204,4460600
2010-08-19,148.669998,149.660004,146.279999,147.050003,127.035805,5290900
2010-08-20,147.440002,148.970001,147.25,148.240005,128.063812,5276800
2010-08-23,148.119995,148.5,146.600006,146.740005,126.768013,3729200
2010-08-24,144.800003,145.490005,143.820007,143.949997,124.357697,6372300
2010-08-25,142.809998,145.330002,142.75,144.679993,124.988358,5638400
2010-08-26,144.940002,145.160004,141.660004,141.809998,122.509003,6818100
2010-08-27,141.130005,141.740005,138.25,139.75,120.72937,11252000
2010-08-30,138.830002,140.110001,136.649994,136.660004,118.356316,6205800
2010-08-31,136.25,138.009995,135.789993,136.929993,118.590179,7064100
2010-09-01,139.009995,140.339996,137.800003,139.740005,121.023834,6897700
2010-09-02,139.929993,140.149994,138.449997,139.779999,121.058449,4992000
2010-09-03,141.619995,147.990005,141.330002,147.289993,127.562637,13588500
2010-09-07,146.149994,146.240005,144.149994,145.210007,125.761162,6211300
2010-09-08,145.380005,149.660004,145.360001,147.539993,127.779129,8310300
2010-09-09,149.789993,150.679993,148.5,149.139999,129.16481,6729800
2010-09-10,149.460007,150.75,148.809998,150.389999,130.24736,4417200
